source,title,url,snippet,published_date,query,year,extracted,extraction_status
DAWN,Revised schedule unveiled as PSL 2025 resumes on ...,https://www.dawn.com/news/1910846,The Pakistan Cricket Board (PCB) on Tuesday announced the revised schedule for the remaining eight matches of the HBL Pakistan Super League (PSL) 2025.,Not Found,HBL_STRICT,2025,"May 14, 2025",SUCCESS
DAWN,Multan Sultans announce humanitarian initiative for Gaza ...,https://www.dawn.com/news/1903882,KARACHI: HBL Pakistan Super League franchise Multan Sultans have launched a humanitarian initiative to support children affected by the ongoing conflict in ...,Not Found,HBL_STRICT,2025,"April 13, 2025",SUCCESS
DAWN,PCB shifts tri-nation series to Lahore and Karachi,https://www.dawn.com/news/1884052,"The PCB's recent history has seen several significant alterations, including a last-minute shift in the venue for the HBL Pakistan Super League (PSL) player ...",Not Found,HBL_STRICT,2025,"January 9, 2025",SUCCESS
DAWN,Jason Holder's all-round show keeps Islamabad United ...,https://www.dawn.com/news/1904753,"Islamabad United continued their perfect run in the ongoing season of the HBL Pakistan Super League, thrashing Multan Sultans by 47 runs here at the Rawalpindi ...",Not Found,HBL_STRICT,2025,"April 17, 2025",SUCCESS
DAWN,Multan Sultans likely to opt for fresh bidding,https://www.dawn.com/news/1906180,HBL Pakistan Super League franchise Multan Sultans is expected to opt for fresh bidding instead of retaining the franchise under the existing policy.,Not Found,HBL_STRICT,2025,"April 24, 2025",SUCCESS
DAWN,South Africa's Corbin Bosch served legal notice by PCB,https://www.dawn.com/news/1898391,"The 30-year-old Bosch was picked by Peshawar Zalmi in the Diamond category during the 10th edition of the HBL Pakistan Super League Player Draft, held in Lahore ...",Not Found,HBL_STRICT,2025,"March 17, 2025",SUCCESS
DAWN,"HBL PSL 2025: Khushdil, Warner help Karachi Kings edge ...",https://www.dawn.com/news/1905780,"KARACHI: Under the blazing lights of the National Bank Stadium, an electric crowd — the largest so far in this HBL Pakistan Super League season — erupted as ...",Not Found,HBL_STRICT,2025,"April 22, 2025",SUCCESS
DAWN,"HBL PSL 2025: Hungry Karachi, Multan seek redemption ...",https://www.dawn.com/news/1903650,The HBL Pakistan Super League's tenth edition will arrive here at the National Bank Stadium on Saturday with a contest between two hungry sides in Karachi ...,Not Found,HBL_STRICT,2025,"April 12, 2025",SUCCESS
DAWN,HBL PSL 2025: Vince leads charge as Karachi Kings ...,https://www.dawn.com/news/1903883,It hardly looked like the venue was hosting its first match of the HBL Pakistan Super League's tenth edition. To make it worse for the home side Karachi ...,Not Found,HBL_STRICT,2025,"April 13, 2025",SUCCESS
DAWN,HBL PSL 2025: Irfan's late heroics stun Qalandars as Kings ...,https://www.dawn.com/news/1908497,Karachi Kings chased down a revised target of 168 in 14.3 overs to defeat Lahore Qalandars by four wickets in a rain-affected HBL Pakistan Super League match.,Not Found,HBL_STRICT,2025,"May 5, 2025",SUCCESS
DAWN,PSL matches to resume from May 17: PCB chairman - Sport,https://www.dawn.com/news/1910731,Pakistan Cricket Board (PCB) Chairman Mohsin Naqvi on Tuesday announced that the remaining eight matches of the HBL Pakistan Super League (PSL) — postponed ...,Not Found,HBL_STRICT,2025,"May 13, 2025",SUCCESS
DAWN,"Shakib, Rajapaksa join Lahore Qalandars; Karachi Kings ...",https://www.dawn.com/news/1911246,Former Bangladesh captain Shakib Al Hasan and Sri Lankan batter Bhanuka Rajapaksa have signed up for Lahore Qalandars for the remainder of the HBL Pakistan ...,Not Found,HBL_STRICT,2025,"May 16, 2025",SUCCESS
DAWN,Gender diversity awards - Newspaper,https://www.dawn.com/news/1940627,"This year's top winners include Engro Fertilizers, Engro Polymer & Chemicals, Pakistan Mobile Communications (Jazz), Habib Bank Limited (HBL), and English ...",Not Found,HBL_STRICT,2025,"September 9, 2025",SUCCESS
DAWN,Ravi Bopara appointed Karachi Kings head coach for PSL 10,https://www.dawn.com/news/1900997,"... HBL Pakistan Super League season 10. Bopara, a familiar face in the Karachi Kings camp, has been an integral part of the franchise over the years. Having ...",Not Found,HBL_STRICT,2025,"March 29, 2025",SUCCESS
DAWN,"Nestle, Unilever and PIA among 'happiest workplaces' in ...",https://www.dawn.com/news/1885143/nestle-unilever-and-pia-among-happiest-workplaces-in-pakistan-report,"... HBL Bank, Meezan Bank, Pakistan Petroleum, Jadeed and Factory X. The Pakistani workplaces that attained an overall happiness score of 95 per cent were ...",Not Found,HBL_STRICT,2025,"January 14, 2025",SUCCESS
DAWN,"Nestle, Unilever and PIA among 'happiest workplaces' in ...",https://www.dawn.com/news/1885143,"... HBL Bank, Meezan Bank, Pakistan Petroleum, Jadeed and Factory X. The Pakistani workplaces that attained an overall happiness score of 95 per cent were ...",Not Found,HBL_STRICT,2025,"January 14, 2025",SUCCESS
