date,Open,High,Low,Close,Volume,daily_sentiment,daily_sentiment_sum,daily_news_count,daily_pos,daily_neg,daily_neu,quarterly_sentiment,annual_sentiment,log_return,close_next,log_return_next,direction_next,quarterly_date,annual_date
2024-08-06,113.97249846313434,115.97111470357876,112.46281999096637,113.64655303955078,2048309,-0.1194444444444444,-0.1194444444444444,1,0,1,0,0.15181,-0.715838,0.0068921048752415,115.02757263183594,0.01207864141469539,1,2024-06-30,2023-12-31
2024-08-07,112.51428638898908,115.75667314770546,112.51428638898908,115.02757263183594,1305601,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.01207864141469539,116.83748626708984,0.015612101329250727,1,2024-06-30,2023-12-31
2024-08-08,114.81313764869864,117.29210576672584,113.7409193781228,116.83748626708984,3188687,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.015612101329250727,118.25279998779295,0.01204074266526689,1,2024-06-30,2023-12-31
2024-08-09,116.87178243873434,118.3728879012502,115.90249300887182,118.25279998779295,1073467,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.01204074266526689,117.87538146972656,-0.0031967284645340044,0,2024-06-30,2023-12-31
2024-08-12,116.77743105202308,118.63022729012322,116.77743105202308,117.87538146972656,643068,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.0031967284645340044,117.51512145996094,-0.0030609585906713477,0,2024-06-30,2023-12-31
2024-08-13,117.51512145996094,118.28711337279732,116.32281527672149,117.51512145996094,479120,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.0030609585906713477,118.34716033935548,0.0070553233391246195,1,2024-06-30,2023-12-31
2024-08-15,117.51511794622472,119.18777576642516,116.65734336267565,118.34716033935548,428031,0.0,0.0,0,0,0,0,0.15181,-0.715838,0.0070553233391246195,117.83250427246094,-0.0043581811528428105,0,2024-06-30,2023-12-31
2024-08-16,118.78463469621256,119.1792168102388,117.10340364348184,117.83250427246094,181836,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.0043581811528428105,117.8067626953125,-0.0002184829174023406,0,2024-06-30,2023-12-31
2024-08-19,117.90111842667676,118.37289708349805,115.45646862267871,117.8067626953125,702144,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.0002184829174023406,117.43793487548828,-0.003135697644573554,0,2024-06-30,2023-12-31
2024-08-20,118.36433310285103,118.37290613777556,116.6659298083845,117.43793487548828,186616,0.0,0.0,0,0,0,0,0.15181,-0.715838,-0.003135697644573554,116.64876556396484,-0.0067425641851404094,0,2024-06-30,2023-12-31
